construct,dimension,dialect,mean,ci_low,ci_high,sd,n
Ability,competence,BEI,-0.04444444444444443,-0.2168977162072316,0.12800882731834276,0.3467873093244571,18.0
Ability,competence,CHD,-0.30000000000000004,-0.5137216928131567,-0.08627830718684337,0.4297742225319489,18.0
Ability,competence,JNN,-0.6555555555555557,-0.9010925540211446,-0.4100185570899667,0.4937518097923314,18.0
Ability,competence,TYN,-0.08888888888888892,-0.5070040021893777,0.3292262244115999,0.8407901667926209,18.0
Ability,competence,WHN,-0.611111111111111,-0.8534677875403714,-0.36875443468185065,0.4873564813042716,18.0
Ability,competence,XIA,-0.7444444444444444,-1.0818176107018278,-0.40707127818706085,0.6784257055186638,18.0
Ability,educatedness,BEI,0.0,-0.11314232981797923,0.11314232981797923,0.22751858359780863,18.0
Ability,educatedness,CHD,-0.8222222222222223,-1.0772523642060752,-0.5671920802383694,0.51284162852455,18.0
Ability,educatedness,JNN,-0.9333333333333333,-1.096936871948856,-0.7697297947178108,0.32899132833198985,18.0
Ability,educatedness,TYN,-0.7666666666666667,-1.0797887729123339,-0.4535445604209996,0.6296591047823371,18.0
Ability,educatedness,WHN,-0.9333333333333333,-1.1840167785964018,-0.6826498880702649,0.5041008302500835,18.0
Ability,educatedness,XIA,-0.9555555555555555,-1.2655128968678264,-0.6455982142432846,0.6232950601650423,18.0
Ability,professionalism,BEI,-0.2444444444444444,-0.45899642066710755,-0.029892468221781265,0.43144384437568833,18.0
Ability,professionalism,CHD,-1.088888888888889,-1.705981249051261,-0.47179652872651723,1.2409146953138042,18.0
Ability,professionalism,JNN,-1.7111111111111112,-2.4020479780336177,-1.0201742441886048,1.389409052921374,18.0
Ability,professionalism,TYN,-0.33333333333333326,-0.926166163716815,0.2594994970501485,1.19213106267232,18.0
Ability,professionalism,WHN,-1.3777777777777778,-1.8778534817911496,-0.877702073764406,1.005605205866278,18.0
Ability,professionalism,XIA,-1.3444444444444443,-1.9361037525950546,-0.752785136293834,1.1897712198383164,18.0
Trust,trustworthiness,BEI,-0.04444444444444448,-0.09897895731628537,0.01009006842739641,0.10966377611066333,18.0
Trust,trustworthiness,CHD,-0.06666666666666668,-0.15022781508768948,0.016894481754356122,0.16803361008336118,18.0
Trust,trustworthiness,JNN,-0.07777777777777779,-0.16892513608344928,0.013369580527893693,0.18328876463610655,18.0
Trust,trustworthiness,TYN,-0.03333333333333331,-0.1477541481364118,0.08108748146974518,0.2300894966542112,18.0
Trust,trustworthiness,WHN,-0.2111111111111111,-0.37986954201041867,-0.04235268021180358,0.3393573318683573,18.0
Trust,trustworthiness,XIA,-0.3555555555555555,-0.6188186095260109,-0.09229250158510022,0.5293972401783906,18.0
Warmth,approachability,BEI,0.044444444444444384,-0.15897033742769506,0.24785922631658386,0.4090479940519309,18.0
Warmth,approachability,CHD,0.12222222222222213,-0.034622479586487134,0.2790669240309314,0.3153999432197262,18.0
Warmth,approachability,JNN,-0.022222222222222192,-0.26795662417551797,0.22351217973107357,0.4941487696392126,18.0
Warmth,approachability,TYN,0.02222222222222224,-0.3288156475757608,0.3732600920202053,0.7059041390973501,18.0
Warmth,approachability,WHN,-0.022222222222222192,-0.3232915612682048,0.2788471168237604,0.605422123573642,18.0
Warmth,approachability,XIA,-0.14444444444444432,-0.4783503665273749,0.18946147763848625,0.6714534035974606,18.0
Warmth,friendliness,BEI,-1.2335811384723962e-16,-0.1671222968420457,0.16712229684204546,0.3360672201667223,18.0
Warmth,friendliness,CHD,0.09999999999999992,-0.13449289117762525,0.3344928911776251,0.4715431487960253,18.0
Warmth,friendliness,JNN,-0.16666666666666666,-0.37487203035944294,0.0415386970261096,0.41868140351233507,18.0
Warmth,friendliness,TYN,-0.08888888888888896,-0.4550708096221216,0.2772930318443437,0.7363574011458175,18.0
Warmth,friendliness,WHN,0.2111111111111111,-0.04066604358485679,0.462888265807079,0.5063001770501819,18.0
Warmth,friendliness,XIA,-0.11111111111111113,-0.4369321309519413,0.21470990872971898,0.6551954256186729,18.0
Warmth,likability,BEI,-0.04444444444444443,-0.1604087121407019,0.07151982325181303,0.23319323525205488,18.0
Warmth,likability,CHD,-0.13333333333333336,-0.3072797348777197,0.04061306821105298,0.34978985287808256,18.0
Warmth,likability,JNN,-0.04444444444444443,-0.24205538790560502,0.15316649901671617,0.3973770208907733,18.0
Warmth,likability,TYN,-0.15555555555555559,-0.39570133012477543,0.08459021901366426,0.4829105656113614,18.0
Warmth,likability,WHN,-0.04444444444444448,-0.22990362582581983,0.14101473693693087,0.3729409702892154,18.0
Warmth,likability,XIA,-0.21111111111111105,-0.4871417659729176,0.06491954375069545,0.5550716847069381,18.0
