construct,dialect,speaker_id,mean,ci_low,ci_high,sd,n
Ability,BEI,BEI_004,-0.17777777777777778,-0.28994603077674824,-0.06560952477880734,0.37335497772755005,45.0
Ability,BEI,BEI_008,-0.014814814814814814,-0.10528694965412817,0.07565732002449856,0.3011388782903286,45.0
Ability,CHD,CHD_012,-0.962962962962963,-1.106542108592092,-0.8193838173338341,0.47790695928014587,45.0
Ability,CHD,CHD_033,-0.5111111111111111,-0.745582074973472,-0.2766401472487502,0.7804427647758092,45.0
Ability,JNN,JNN_013,-1.2666666666666668,-1.486072097846125,-1.0472612354872086,0.7302967433402215,45.0
Ability,JNN,JNN_019,-0.9333333333333333,-1.1214149180933597,-0.7452517485733071,0.6260344973874777,45.0
Ability,TYN,TYN_001,-0.43703703703703706,-0.7411067633457187,-0.13296731072835538,1.0121040745338352,45.0
Ability,TYN,TYN_036,-0.35555555555555557,-0.5308408018105172,-0.18027030930059393,0.5834415484039857,45.0
Ability,WHN,WHN_003,-0.8370370370370371,-1.025145550222251,-0.6489285238518232,0.6261241293583554,45.0
Ability,WHN,WHN_010,-1.1111111111111112,-1.2805783250101495,-0.9416438972120729,0.5640760748177663,45.0
Ability,XIA,XIA_020,-1.214814814814815,-1.463948870557436,-0.9656807590721941,0.8292492514242352,45.0
Ability,XIA,XIA_027,-0.8148148148148148,-1.024614121341614,-0.6050155082880155,0.6983225049986963,45.0
Trust,BEI,BEI_004,-0.044444444444444446,-0.10705746284908874,0.01816857396019985,0.2084090771399927,45.0
Trust,BEI,BEI_008,-0.044444444444444446,-0.10705746284908874,0.01816857396019985,0.20840907713999274,45.0
Trust,CHD,CHD_012,-0.08888888888888889,-0.17535329022701543,-0.0024244875507623553,0.28779903201415186,45.0
Trust,CHD,CHD_033,-0.044444444444444446,-0.10705746284908874,0.01816857396019985,0.20840907713999274,45.0
Trust,JNN,JNN_013,-0.15555555555555556,-0.2656730276930007,-0.04543808341811041,0.3665288997383895,45.0
Trust,JNN,JNN_019,0.0,0.0,0.0,0.0,45.0
Trust,TYN,TYN_001,-0.08888888888888889,-0.21411492569817747,0.0363371479203997,0.4168181542799854,45.0
Trust,TYN,TYN_036,0.022222222222222223,-0.05593476573189808,0.10037921017634253,0.26014758825860307,45.0
Trust,WHN,WHN_003,-0.2222222222222222,-0.36384781905980546,-0.08059662538463899,0.4714045207910317,45.0
Trust,WHN,WHN_010,-0.2,-0.32153123743779305,-0.07846876256220697,0.4045199174779453,45.0
Trust,XIA,XIA_020,-0.37777777777777777,-0.5250832535715914,-0.23047230198396418,0.4903101471559001,45.0
Trust,XIA,XIA_027,-0.3333333333333333,-0.5457717285897081,-0.12089493807695847,0.7071067811865476,45.0
Warmth,BEI,BEI_004,-0.11111111111111109,-0.1991429706013016,-0.023079251620920588,0.2930163576638442,45.0
Warmth,BEI,BEI_008,0.1111111111111111,0.018044861014200483,0.2041773612080217,0.3097734590948617,45.0
Warmth,CHD,CHD_012,0.08888888888888889,-0.02489337875225575,0.20267115653003354,0.378727267878012,45.0
Warmth,CHD,CHD_033,-0.029629629629629627,-0.12468826712633288,0.06542900786707362,0.31640517291214876,45.0
Warmth,JNN,JNN_013,-0.11851851851851851,-0.2143730837012107,-0.022663953335826326,0.3190544391307986,45.0
Warmth,JNN,JNN_019,-0.037037037037037035,-0.18061618266616591,0.10654210859209184,0.47790695928014587,45.0
Warmth,TYN,TYN_001,-0.2,-0.4352473599071084,0.035247359907108367,0.7830270194133233,45.0
Warmth,TYN,TYN_036,0.05185185185185184,-0.05480752353860861,0.1585112272423123,0.3550185338422385,45.0
Warmth,WHN,WHN_003,-0.20740740740740746,-0.3324310422146584,-0.0823837726001565,0.4161444538973695,45.0
Warmth,WHN,WHN_010,0.3037037037037037,0.19732964146468876,0.4100777659427186,0.3540688615200326,45.0
Warmth,XIA,XIA_020,-0.051851851851851836,-0.27162634204938646,0.16792263834568277,0.7315251659802292,45.0
Warmth,XIA,XIA_027,-0.25925925925925924,-0.37792259649261334,-0.14059592202590515,0.39497403628317473,45.0
