model,construct,mean,ci_low,ci_high,sd,n,centered_mean,centered_low,centered_high
qwen2.5,Ability,0.5,0.43278744179716067,0.5672125582028393,0.5011614417507341,216.0,0.0,-0.06721255820283933,0.06721255820283933
qwen2.5,Trust,0.5,0.43278744179716067,0.5672125582028393,0.5011614417507341,216.0,0.0,-0.06721255820283933,0.06721255820283933
qwen2.5,Warmth,0.5,0.43278744179716067,0.5672125582028393,0.5011614417507341,216.0,0.0,-0.06721255820283933,0.06721255820283933
qwen3,Ability,0.462037037037037,0.39982920603774874,0.5242448680363253,0.4638443633956535,216.0,-0.037962962962962976,-0.10017079396225126,0.024244868036325307
qwen3,Trust,0.5,0.43278744179716067,0.5672125582028393,0.5011614417507341,216.0,0.0,-0.06721255820283933,0.06721255820283933
qwen3,Warmth,0.5015432098765432,0.4362161357909156,0.5668702839621709,0.4871025818613625,216.0,0.0015432098765432167,-0.06378386420908438,0.06687028396217087
qwen3.5,Ability,0.07561728395061727,0.04748137320498956,0.10375319469624499,0.2097916516091346,216.0,-0.4243827160493827,-0.4525186267950104,-0.396246805303755
qwen3.5,Trust,0.07962962962962962,0.04753819700276592,0.11172106225649332,0.23928547094709665,216.0,-0.4203703703703704,-0.4524618029972341,-0.3882789377435067
qwen3.5,Warmth,0.22438271604938273,0.18453699969489468,0.2642284324038708,0.29710424941037955,216.0,-0.27561728395061724,-0.3154630003051053,-0.23577156759612922
